연번,자치구,계,내장형,외장형,인식표
0,합계,589110,280445,254565,54100
1,종로구,10354,4619,4369,1366
2,중구,8480,4385,3625,470
3,용산구,18801,10523,6734,1544
4,성동구,18286,9359,6584,2343
5,광진구,21529,10818,9425,1286
6,동대문구,20509,9568,9823,1118
7,중랑구,25250,12031,10172,3047
8,성북구,26190,12019,12041,2130
9,강북구,20252,9921,7198,3133
10,도봉구,21738,8711,11218,1809
11,노원구,29587,12598,14842,2147
12,은평구,30283,14696,12279,3308
13,서대문구,19161,9398,8323,1440
14,마포구,24704,13447,9529,1728
15,양천구,25878,13462,10602,1814
16,강서구,36432,15936,16880,3616
17,구로구,21016,10642,8576,1798
18,금천구,14054,6294,6747,1013
19,영등포구,20565,8939,9378,2248
20,동작구,19737,8902,8969,1866
21,관악구,28533,12872,11055,4606
22,서초구,25632,12965,10509,2158
23,강남구,37824,17392,16826,3606
24,송파구,36584,17641,15791,3152
25,강동구,27731,13307,13070,1354