연번,자치구,계,내장형,외장형,인식표,연도,등록증가율(%)
1,종로구,10354,4619,4369,1366,2023,0.0
2,중구,8480,4385,3625,470,2023,0.0
3,용산구,18801,10523,6734,1544,2023,0.0
4,성동구,18286,9359,6584,2343,2023,0.0
5,광진구,21529,10818,9425,1286,2023,0.0
6,동대문구,20509,9568,9823,1118,2023,0.0
7,중랑구,25250,12031,10172,3047,2023,0.0
8,성북구,26190,12019,12041,2130,2023,0.0
9,강북구,20252,9921,7198,3133,2023,0.0
10,도봉구,21738,8711,11218,1809,2023,0.0
11,노원구,29587,12598,14842,2147,2023,0.0
12,은평구,30283,14696,12279,3308,2023,0.0
13,서대문구,19161,9398,8323,1440,2023,0.0
14,마포구,24704,13447,9529,1728,2023,0.0
15,양천구,25878,13462,10602,1814,2023,0.0
16,강서구,36432,15936,16880,3616,2023,0.0
17,구로구,21016,10642,8576,1798,2023,0.0
18,금천구,14054,6294,6747,1013,2023,0.0
19,영등포구,20565,8939,9378,2248,2023,0.0
20,동작구,19737,8902,8969,1866,2023,0.0
21,관악구,28533,12872,11055,4606,2023,0.0
22,서초구,25632,12965,10509,2158,2023,0.0
23,강남구,37824,17392,16826,3606,2023,0.0
24,송파구,36584,17641,15791,3152,2023,0.0
25,강동구,27731,13307,13070,1354,2023,0.0
1,종로구,10821,4892,4575,1354,2024,1.41
2,중구,8985,4663,3846,476,2024,1.53
3,용산구,19518,10920,7061,1537,2024,2.17
4,성동구,18904,9560,7019,2325,2024,1.87
5,광진구,22894,11556,10064,1274,2024,4.13
6,동대문구,21497,10052,10339,1106,2024,2.99
7,중랑구,26631,12605,10997,3029,2024,4.18
8,성북구,27512,12756,12640,2116,2024,4.0
9,강북구,21414,10432,7892,3090,2024,3.52
10,도봉구,22760,9167,11780,1813,2024,3.09
11,노원구,30989,13165,15679,2145,2024,4.25
12,은평구,32261,15630,13290,3341,2024,5.99
13,서대문구,20292,10069,8813,1410,2024,3.42
14,마포구,25976,14198,10058,1720,2024,3.85
15,양천구,27287,14127,11361,1799,2024,4.27
16,강서구,38447,16757,18094,3596,2024,6.1
17,구로구,22284,11193,9298,1793,2024,3.84
18,금천구,14968,6649,7322,997,2024,2.77
19,영등포구,21832,9593,9988,2251,2024,3.84
20,동작구,20758,9411,9492,1855,2024,3.09
21,관악구,30158,13661,11923,4574,2024,4.92
22,서초구,27160,13817,11189,2154,2024,4.63
23,강남구,40936,19369,17963,3604,2024,9.42
24,송파구,38740,18693,16899,3148,2024,6.53
25,강동구,29113,13967,13790,1356,2024,4.18